,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
支付之利息,-527,-527,-926,"-1,315","-1,702",-391,-863,"-1,275","-1,668",-388,-431,-480,-538,-53,-189,-209
收取之利息,625,625,"2,395","3,356","4,717","1,792","3,294","4,653","5,945","1,266","2,745","3,925","5,261","1,200","3,413","5,041"
收取之股利,0,0,"12,662","62,971","65,460",,"10,508","61,673","65,105",,"12,054","71,706","76,472",,"8,669","58,645"
收益費損項目合計,,,,,,,,,,"8,183","5,437","-107,860","-100,344","-181,596","-189,565","-250,937"
期初現金及約當現金餘額,"49,697","49,697","49,697","49,697","49,697","241,300","241,300","241,300","241,300","314,885","314,885","314,885","314,885","496,486","496,486","496,486"
期末現金及約當現金餘額,"135,666","135,666","184,405","262,233","241,300","364,129","278,779","324,282","314,885","415,672","434,526","527,490","496,486","663,616","390,610","428,364"
未實現外幣兌換損失（利益）,"-1,009","-1,009","-1,235",-682,-982,-855,-76,-790,"-2,371",449,"1,020","-1,542","-1,483",591,484,"2,127"
本期現金及約當現金增加（減少）數,"85,969","85,969","134,708","212,536","191,603","122,829","37,479","82,982","73,585","100,787","119,641","212,605","181,601","167,130","-105,876","-68,122"
本期稅前淨利（淨損）,"59,501","59,501","66,471","171,783","111,930","61,690","104,104","169,690","130,905","31,441","57,917","122,412","143,959","197,272","216,676","207,169"
營業活動之淨現金流入（流出）,"112,617","112,617","-37,214","108,762","182,216","56,968","-101,882","101,771","93,447","53,614","106,619","230,482","209,846","-110,493","-389,024","-258,470"
營運產生之現金流入（流出）,"112,625","112,625","-27,235","68,074","140,173","55,745","-114,348","37,439","24,911","52,862","99,132","162,417","135,869","-93,079","-379,830","-298,789"
發放現金股利,,,,"-57,200","-57,200",,,"-114,400","-114,400",,,"-114,400","-114,400",,,"-114,400"
短期借款增加,,,,,,"60,670",,,,0,,,,"7,000",,
短期借款減少,"-20,000","-20,000","-20,000","-20,000","-20,000",0,0,0,0,,,,,,,
籌資活動之淨現金流入（流出）,"-52,015","-52,015","-63,764","-136,883","-146,967","60,623",-939,"-115,623","-115,863",348,"-100,433","-214,446","-213,751","18,271","10,764","-107,255"
繼續營業單位稅前淨利（淨損）,"59,501","59,501","66,471","171,783","111,930","61,690","104,104","169,690","130,905","31,441","57,917","122,412","143,959","197,272","216,676","207,169"
股利收入,0,0,"-4,662","-54,971","-57,460",,"-2,508","-53,673","-56,335",,"-4,054","-63,706","-68,410",,"-1,481","-50,645"
與營業活動相關之負債之淨變動合計,"-78,767","-78,767","-7,772","-22,853","5,946","20,920","-46,145","-45,629","-51,741","-47,900","2,709","-6,335","100,799","-146,600","-60,341","-68,635"
與營業活動相關之資產之淨變動合計,"118,829","118,829","-152,636","-103,639","-113,868","-29,829","-180,069","-45,597","-106,436","61,138","33,069","154,200","-8,545","37,845","-346,600","-186,386"
與營業活動相關之資產及負債之淨變動合計,"40,062","40,062","-160,408","-126,492","-107,922","-8,909","-226,214","-91,226","-158,177","13,238","35,778","147,865","92,254","-108,755","-406,941","-255,021"
處分不動產、廠房及設備,,,,,695,,,,0,,,,,"256,869","264,251","281,335"
處分以成本衡量之金融資產,,,,,,,120,120,120,,0,0,0,,,
處分備供出售金融資產,"7,376","7,376","11,442","18,181","18,182","10,067","10,067","10,067","10,067",0,"2,323","16,525","16,525","6,910","6,910","30,525"
處分及報廢不動產、廠房及設備損失（利益）,"1,692","1,692","1,692","1,692","1,069",0,0,0,0,,0,,,"-175,033","-176,659","-182,910"
處分投資性不動產,0,0,0,0,0,,"10,522","10,522","10,522",,0,"67,131","67,131",,"13,730","13,730"
處分投資性不動產損失（利益）,0,0,0,0,0,,"-9,104","-9,104","-9,104",,0,"-57,896","-57,896",,"-10,248","-10,248"
處分投資損失（利益）,"7,121","7,121","55,470","53,523","53,599","-3,923","-1,178","-1,178","-1,178",0,-481,"-3,747","-3,747",-602,-602,"-4,582"
處分採用權益法之投資損失（利益）,,,,-1,,,,0,,,,,,,,
調整項目合計,"53,124","53,124","-93,706","-103,709","28,243","-5,945","-218,452","-132,251","-105,994","21,421","41,215","40,005","-8,090","-290,351","-596,506","-505,958"
負債準備增加（減少）,29,29,-38,-9,20,74,148,222,295,-42,-170,"38,488",-254,64,127,191
資產負債表帳列之現金及約當現金,"135,666","135,666","184,405","262,233","241,300","364,129","278,779","324,282","314,885","415,672","434,526","527,490","496,486","663,616","390,610","428,364"
退還（支付）之所得稅,-106,-106,"-24,110","-24,324","-26,432",-178,-473,-719,-846,-126,"-6,881","-7,086","-7,218","-18,561","-21,087","-23,158"
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,"-12,719","-12,719","-13,706","-15,882","-20,268","-2,578","-3,487","-11,237","-17,397",-608,"-5,405","1,827","2,341","3,392","4,902","1,408"
金融資產減損損失,,,,,"1,140",,,,"4,437",,,,"1,751",,,
非控制權益變動,,,-546,-546,-546,,-384,-384,-384,,-461,-461,-461,,-404,-404
非金融資產減損損失,0,0,0,0,"110,000",,,,"105,858",,,,0,,,
非金融資產減損迴轉利益,,,,,,,,,,,,,,"-12,228","-12,228","-12,228"
預付款項（增加）減少,"-5,927","-5,927",6,"-1,273","9,731","-27,789","-3,570","-9,889","-7,002","-3,230","10,472","5,495","11,837","-7,391","-26,729","-14,385"
預收款項增加（減少）,,,,,,,,,,,,,,,,594
