,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
籌資活動之淨現金流入（流出）,"8,381,595","8,381,595","17,695,797","5,984,776","6,919,806","-8,575,291","-8,239,560","-11,889,650","-4,566,862","1,638,054","-1,095,476","-1,433,717","-12,987,242","-4,032,008","-11,941,493","-16,539,956"
繼續營業單位稅前淨利（淨損）,"1,589,845","1,589,845","4,784,025","6,479,352","10,277,840","2,014,079","6,895,906","9,614,314","13,719,739","1,844,700","5,126,208","5,089,087","6,814,158","282,550","1,946,106","3,324,612"
股份基礎給付酬勞成本,500,500,603,603,603,,,0,0,,,,,,,
股利收入,"-2,299","-2,299","-286,748","-694,567","-700,889","-1,271","-708,986","-720,708","-727,018","-1,292","-632,936","-668,685","-678,148","-1,275","-685,176","-774,600"
與營業活動相關之負債之淨變動合計,"721,454","721,454","1,353,353","511,101","1,202,225","286,695","-153,046","-2,587,110","-3,966,227","-1,480,760","-617,025","-1,379,824","-1,393,637","-794,440","-936,799","-1,495,030"
與營業活動相關之資產之淨變動合計,"-3,174,938","-3,174,938","-925,399","-1,946,349","-495,474","-4,837,588","-1,983,841","-1,522,897","-1,333,354","482,571","1,589,160","3,347,146","5,276,489","2,410,717","3,803,956","4,527,670"
與營業活動相關之資產及負債之淨變動合計,"-2,453,484","-2,453,484","427,954","-1,435,248","706,751","-4,550,893","-2,136,887","-4,110,007","-5,299,581","-998,189","972,135","1,967,322","3,882,852","1,616,277","2,867,157","3,032,640"
舉借長期借款,"15,129,985","15,129,985","24,630,025","32,659,030","47,419,563","15,140,996","43,700,307","23,597,195","43,127,324","2,112,826","9,703,687","15,843,101","34,512,584","13,545,439","20,903,098","21,720,349"
處分不動產、廠房及設備,"13,531","13,531","50,081","90,923","123,912","126,628","147,286","334,142","61,718","12,970","35,493","121,512","78,816","8,546","21,856","49,821"
處分備供出售金融資產,"69,892","69,892","196,192","435,439","847,208","763,406","979,804","1,246,738","1,309,730","1,108,613","3,543,519","3,714,049","3,719,317",0,"953,346","2,357,198"
處分及報廢不動產、廠房及設備損失（利益）,"-7,856","-7,856","-7,243","-7,555","-5,776","-4,092","-11,068","-9,483","-9,249","-7,442","-13,282","-19,840","-7,151",-418,"-7,191","-10,297"
處分投資損失（利益）,"-1,689","-1,689","-8,134","-24,809","-72,474","-104,530","-98,602","-97,016","-114,480","-157,608","-574,907","-598,926","-599,049",0,"-72,413","-168,265"
處分持有至到期日金融資產,,,,,"379,793",,,,0,,,,,,,
處分採用權益法之投資,,,0,0,0,,"3,239","10,150","10,150",,0,0,"58,716",,,
處分採用權益法之投資損失（利益）,,,0,0,0,,,,"-20,903",,,,283,,,
處分無形資產,,,8,,,,0,,,,,,,,,
處分無活絡市場之債券投資,,,,,"1,795,671",,,"181,721","1,153,514",,,,,,,
處分無活絡市場之債務工具投資,,,,,,,,,,,,"588,722","511,376","1,518,840","3,349,779","1,341,587"
調整項目合計,"-1,373,073","-1,373,073","1,188,923","-442,876","2,417,626","-3,569,716","-3,189,010","-3,637,432","-4,060,969","-928,895","23,004","3,524,949","5,393,955","3,280,312","5,931,918","7,460,565"
負債準備增加（減少）,"2,128","2,128","-8,894","392,354",-126,"3,509","29,179","-4,676","23,426","5,466","2,681","8,498","11,390","1,001","-5,615","-2,042"
買回應付公司債損失（利益）,,,"116,382","116,382","116,382","356,459","356,480","356,480","356,480",0,0,0,0,,"298,893","298,893"
資產負債表帳列之現金及約當現金,"14,912,589","14,912,589","19,077,321","13,255,032","19,184,742","7,387,787","7,918,436","8,000,913","12,739,834","10,953,430","11,887,636","20,913,228","11,024,089","10,388,866","7,509,140","5,620,949"
退還（支付）之所得稅,"-154,912","-154,912","-695,634","-1,030,384","-1,351,200","-471,236","-1,196,018","-1,583,916","-2,059,597","-238,621","-657,955","-861,217","-1,216,131","-132,293","-628,399","-888,217"
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,,,,,,,,,,,,,"3,052",,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,"-309,974","-309,974","-490,446","41,277","-47,155","-240,496","-175,602","-286,204","-1,034,483","21,598","-228,256","-820,224","-826,151","165,473","186,736","170,499"
遞延貸項增加（減少）,,,,"-51,064","-68,085","-17,021","-34,043","-51,064","-68,086","-17,021","-34,042","-51,063","-68,085","-17,021","-34,042","-51,064"
金融資產減損損失,,,,,"32,500",,,,"51,387",,"27,000","27,000","65,374",,"24,000","52,302"
非控制權益變動,0,0,"-113,838","-456,300","-934,542","-723,321","-1,035,800","-1,254,257","-1,255,192",0,"-668,070","-669,189","-668,142",,"-147,998","-146,564"
非金融資產減損損失,"-47,212","-47,212",0,0,0,"-16,131","-76,954","-73,094","-65,434","18,071","-7,539","-12,479","-33,645","-33,313",,"-42,345"
非金融資產減損迴轉利益,,,"-44,813","-29,145","-23,718","-76,572","-76,572","-76,572","-76,572",0,0,0,0,,"-34,890",
預付款項（增加）減少,"-272,321","-272,321","-307,041","-744,365","-134,793","-184,112","-613,785","-524,963","-8,579","-762,417","-645,966","-638,810","64,428","-411,481","-186,134","-93,762"
預收款項增加（減少）,,,"26,312","209,181","30,432","130,661","11,397","123,514","-81,054","55,949","-25,623","159,671","29,594","132,569","54,232","137,506"
