,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
營業活動之淨現金流入（流出）,1131804.0,134913.0,396212.0,1889640.0,-566235.0,-1111224.0,-344961.0,86572.0,273969.0,939377.0,1573940.0,1383937.0,229577.0,397098.0,124979.0,812079.0
營運產生之現金流入（流出）,1132646.0,186214.0,499546.0,1996657.0,-565383.0,-1025517.0,-193042.0,241752.0,273499.0,1078422.0,1810614.0,1624244.0,229226.0,490942.0,312993.0,1000752.0
發放現金股利,,,-447930.0,-447930.0,,,-607905.0,-607905.0,,,-799875.0,0.0,0.0,,-799875.0,-799875.0
短期借款增加,-287621.0,-256546.0,248288.0,-171388.0,-116091.0,-120095.0,-105233.0,224673.0,-266086.0,-320769.0,-174256.0,-218231.0,-35986.0,47689.0,69354.0,256737.0
籌資活動之淨現金流入（流出）,-562831.0,-343267.0,-501328.0,-920954.0,-106142.0,133878.0,-683115.0,-377804.0,-257266.0,-337865.0,-991227.0,-1035232.0,-1136.0,57728.0,-688012.0,-533059.0
繼續營業單位稅前淨利（淨損）,259595.0,472521.0,599540.0,852218.0,350919.0,535964.0,715196.0,1204164.0,293744.0,521053.0,854313.0,1121889.0,212942.0,545645.0,779138.0,1094288.0
與營業活動相關之負債之淨變動合計,-48202.0,-73295.0,-190594.0,-36949.0,-136212.0,-68882.0,-94990.0,5492.0,-110406.0,-86524.0,-81091.0,123821.0,-189448.0,-252269.0,-136951.0,280880.0
與營業活動相關之資產之淨變動合計,907255.0,-267619.0,-6614.0,1063182.0,-823554.0,-1593010.0,-949294.0,-1090126.0,53110.0,598466.0,965882.0,285000.0,150283.0,140766.0,-413236.0,-471962.0
與營業活動相關之資產及負債之淨變動合計,859053.0,-340914.0,-197208.0,1026233.0,-959766.0,-1661892.0,-1044284.0,-1084634.0,-57296.0,511942.0,884791.0,408821.0,-39165.0,-111503.0,-550187.0,-191082.0
處分不動產、廠房及設備,0.0,57.0,57.0,96.0,0.0,2.0,204.0,1499.0,373.0,827.0,1638.0,1635.0,0.0,88.0,88.0,87.0
處分及報廢不動產、廠房及設備損失（利益）,855.0,845.0,900.0,911.0,0.0,-2.0,108.0,-1013.0,-355.0,-645.0,-1455.0,-1430.0,453.0,538.0,908.0,3497.0
處分投資損失（利益）,,,,,,,,-15.0,-897.0,-897.0,-897.0,-897.0,0.0,0.0,0.0,0.0
調整項目合計,873051.0,-286307.0,-99994.0,1144439.0,-916302.0,-1561481.0,-908238.0,-962412.0,-20245.0,557369.0,956301.0,502355.0,16284.0,-54703.0,-466145.0,-93536.0
資產負債表帳列之現金及約當現金,987665.0,199522.0,281040.0,1345484.0,661951.0,337366.0,255524.0,981164.0,1006790.0,1570282.0,1503910.0,1232661.0,1452900.0,1652439.0,615461.0,1435014.0
退還（支付）之所得稅,0.0,-49767.0,-100291.0,-103185.0,0.0,-85625.0,-150507.0,-154382.0,,-140650.0,-239545.0,-244023.0,0.0,-94189.0,-187918.0,-188242.0
預付款項（增加）減少,2200.0,-44721.0,-22600.0,1332.0,-11604.0,-30127.0,-60601.0,-50055.0,-16671.0,-22285.0,-33626.0,-26515.0,-9589.0,-28024.0,-49145.0,-40063.0
