,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
匯率變動對現金及約當現金之影響,"53,388","53,388","44,281","58,553","64,450","-14,559","-61,097","4,566","51,280","-1,402","-10,795","51,100","37,181","-8,794","4,488","-10,048"
取得不動產、廠房及設備,"-98,833","-98,833","-146,292","-115,173","-178,196","-13,254","-99,584","-111,044","-120,411","-80,069","-128,527","-197,060","-227,623","-42,848","-83,216","-145,762"
取得備供出售金融資產,"-111,782","-111,782","-212,993","-326,656","-424,969","-200,095","-300,115","-670,551","-835,120","-95,333","-130,188","-245,356","-516,010","-125,232","-125,250","-270,190"
取得投資性不動產,-524,-524,-524,-524,-525,0,0,0,0,,"-1,021","-1,021","-1,021",-450,-550,-814
取得採用權益法之投資,,,,,,,,"-4,500","-4,500",,"-2,202","-2,202","-2,201",,0,"-4,111"
取得無形資產,0,0,0,0,0,0,,,,,,,-84,,,
呆帳費用提列（轉列收入）數,,,"31,312","31,312","30,000",,"9,915","9,915","9,915",51,51,51,51,0,0,0
存入保證金增加,,,0,0,0,372,888,"1,802","3,463",787,0,0,0,0,,613
存入保證金減少,"-2,869","-2,869","-2,763","-2,165","-2,420",0,0,0,0,,-648,"-1,033","-1,909",-486,-400,0
存出保證金增加,"-2,065","-2,065","-1,725","-6,584","-18,784",,0,-755,"-3,007",,,0,0,,,
存出保證金減少,,,,,,5,188,,,977,"8,394","7,725","9,954",71,"3,624","3,494"
存貨（增加）減少,"-19,082","-19,082","-137,544","-100,374","-79,095","-59,358","-48,422","-180,673","-135,960","-34,280","3,151","-26,723","41,698","14,595","-10,560","30,059"
應付帳款增加（減少）,"-163,833","-163,833","-143,080","-120,013","-98,883","-26,845",-47,"-111,214","-130,941","-20,255","49,195","174,831","48,795","-29,936","-56,182","-36,075"
應付帳款－關係人增加（減少）,,,,,,0,0,,737,-283,-234,-370,-737,0,0,0
應付票據增加（減少）,"1,315","1,315","18,423","14,011","46,208","-23,243","-35,387","-14,273","-8,409","-46,519","-26,614","19,368","-29,975","-3,472",350,"-4,297"
應付票據－關係人增加（減少）,,,,-95,71,-454,165,-35,-78,-447,-118,-88,-66,-390,-139,-132
應收帳款（增加）減少,"-9,557","-9,557","-42,781","-24,120","-77,387","9,419","2,770","-13,542","-23,124","105,635","89,396","86,534","69,539","37,971","36,104","77,932"
應收帳款－關係人（增加）減少,,,,"-8,121","-7,328","2,026",867,"2,632",308,65,-387,"1,751","1,593",562,686,835
應收票據（增加）減少,"119,838","119,838","73,061",-279,"-302,593","-19,452","-236,184","215,583","92,420","129,661","-39,386","4,783","131,685","32,853","-86,739","-108,542"
應收票據－關係人（增加）減少,,,,-967,"-6,847","-3,443","-9,030",-209,"1,144","5,199","5,206","3,840","5,703",0,0,0
應計退休金負債增加（減少）,"-1,002","-1,002","-1,981","-4,131","-5,465",-340,"-7,123","-9,906","-10,002",,,,,,,
投資活動之淨現金流入（流出）,"-142,645","-142,645","65,503","22,986","35,321","-73,052","-95,500","88,637","-16,014","-117,126","-119,534","-184,869","-36,578","-142,184","-136,687","-190,138"
折舊費用,"62,058","62,058","127,992","193,445","262,196","65,913","132,125","198,885","281,505","72,568","145,614","219,721","295,658","76,460","153,399","229,260"
持有供交易之金融資產（增加）減少,,,"-121,915",743,743,,0,0,0,,,,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,,,,,,,,370,"1,012",220,436,641,916,96,274,541
攤銷費用,"1,415","1,415","2,859","4,308","5,302","1,321","2,602","3,894","5,390","1,368","2,698","4,430","6,856","1,306","2,587","3,814"
支付之利息,"-10,210","-10,210","-17,507","-25,926","-37,922","-10,593","-22,661","-31,693","-38,933","-6,018","-11,365","-16,804","-24,175","-6,334","-13,415","-20,584"
收取之利息,"2,907","2,907","6,047","8,725","13,587","3,529","8,460","11,543","14,103","2,153","5,276","7,942","10,317","1,648","3,283","4,472"
收取之股利,,,,"4,663","4,663",,"1,395","3,840","5,153",,"1,348","4,614","4,614",,739,"4,289"
收益費損項目合計,,,,,,,,,,"79,412","157,875","234,380","291,304","84,024","168,131","261,539"
期初現金及約當現金餘額,"964,475","964,475","964,475","964,475","964,475","929,771","929,771","929,771","929,771","746,356","746,356","746,356","699,856","675,075","675,075","675,075"
期末現金及約當現金餘額,"1,020,937","1,020,937","1,018,615","819,400","929,771","905,517","950,247","692,337","746,356","742,988","722,075","825,466","675,075","544,318","565,145","594,668"
未實現外幣兌換損失（利益）,"33,255","33,255","-24,694","-23,619","-42,153","8,105","10,053","16,135","10,040",,,,,,,
本期現金及約當現金增加（減少）數,"56,462","56,462","54,140","-145,075","-34,704","-24,254","20,476","-237,434","-183,415","-3,368","-24,281","79,110","-24,781","-130,757","-109,930","-80,407"
本期稅前淨利（淨損）,"43,634","43,634","124,670","144,843","371,025","135,997","332,909","356,615","426,820","7,834","5,425","-54,362","11,055","-26,578","59,058","98,735"
淨確定福利負債增加(減少),,,,,,,,,,-231,"-4,128","-11,169","-16,612",-381,-799,"-7,048"
營業活動之淨現金流入（流出）,"270,823","270,823","-20,654","158,851","123,162","86,727","232,638","426,114","509,229","155,264","183,140","404,509","506,352","45,729","51,272","242,131"
營運產生之現金流入（流出）,"278,946","278,946","8,614","197,257","188,831","115,335","283,911","569,564","661,680","164,106","200,437","442,506","550,820","45,722","84,897","292,649"
現金減資,,,,,,,,,,,,,"-421,001",,,
發放現金股利,,,,"-159,980","-159,980",,,"-505,201","-505,201",,,"-84,200","-84,200",,,"-75,780"
短期借款增加,,,,,"95,840","127,890","123,581","125,152","269,925","3,186","3,186","3,186","255,592","58,179","58,179","108,445"
短期借款減少,,,,,,,,"-39,931","-180,252",,,0,"-184,633","-61,367","-61,367","-119,546"
籌資活動之淨現金流入（流出）,"-125,104","-125,104","-34,990","-385,465","-257,637","-23,370","-55,565","-756,751","-727,910","-40,104","-77,092","-191,630","-531,736","-25,508","-29,003","-122,352"
繼續營業單位稅前淨利（淨損）,"43,634","43,634","124,670","144,843","371,025","135,997","332,909","356,615","426,820","7,834","5,425","-54,362","11,055","-26,578","59,058","98,735"
股利收入,,,,"-4,663","-4,663",,"-1,395","-3,840","-5,153",,"-1,348","-4,614","-4,614",,-739,"-4,289"
與營業活動相關之負債之淨變動合計,"-157,271","-157,271","-143,312","-104,963","-15,491","-73,461","-33,735","-125,184","-126,365","-97,288","-13,840","208,057","-7,607","-55,240","-92,116","-82,915"
與營業活動相關之資產之淨變動合計,"294,928","294,928","-107,988","-47,715","-423,776","-24,425","-180,702","101,026","24,148","174,148","50,977","54,431","256,068","43,516","-50,176","15,290"
與營業活動相關之資產及負債之淨變動合計,"137,657","137,657","-251,300","-152,678","-439,267","-97,886","-214,437","-24,158","-102,217","76,860","37,137","262,488","248,461","-11,724","-142,292","-67,625"
舉借長期借款,,,,,,,,,,"927,864","914,803","914,803","918,850",0,0,0
處分不動產、廠房及設備,701,701,"2,253","2,804","4,858",0,512,710,"1,053",,"1,855","1,855","2,064",,0,500
處分以成本衡量之金融資產,,,,,0,,,,,,,,,,,
處分備供出售金融資產,"69,858","69,858","244,264","303,439","475,718","117,197","248,435","811,293","905,040","60,581","116,591","226,991","606,194","25,308","70,387","225,075"
處分及報廢不動產、廠房及設備損失（利益）,"4,412","4,412","2,791","7,444","5,392",0,"3,981","3,981","7,910",,"3,324","3,328","3,201",8,42,"5,757"
處分投資性不動產,,,,,,,,,,,,,"54,789",,,
處分投資性不動產損失（利益）,,,,,,,,,,,,,"-26,772",,,
處分投資損失（利益）,"-11,424","-11,424","-18,124","-22,671","-26,908","-5,762","-8,489","-14,833","-20,597",-134,"-1,470","-1,811","-2,754",-76,-168,"6,682"
調整項目合計,"235,312","235,312","-116,056","52,414","-182,194","-20,662","-48,998","212,949","234,860","156,272","195,012","496,868","539,765","72,300","25,839","193,914"
資產負債表帳列之現金及約當現金,"1,020,937","1,020,937","1,018,615","819,400","929,771","905,517","950,247","692,337","746,356","742,988","722,075","825,466","675,075","544,318","565,145","594,668"
退還（支付）之所得稅,-820,-820,"-17,808","-25,868","-27,747","-18,015","-28,612","-111,757","-113,518","-2,824","-17,297","-37,997","-44,468",7,"-33,625","-50,518"
非控制權益變動,"26,415","26,415","39,323","30,657","45,384","-3,479","-19,099",,,,,"-5,872",,,,0
非金融資產減損損失,,,,,,,,,"18,873",,,,0,,,
預付款項（增加）減少,"69,335","69,335","98,687","74,513","62,872","12,874","66,496","53,252","71,526","-47,654","-20,830","-29,348","-7,174","-45,276","10,122","9,409"
預付設備款增加,,,,,,,,0,0,,"-1,069",,,-681,"-5,704","-2,398"
預付設備款減少,,,,,,,,"26,426",,,,"1,634","11,507",,,0
