,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
應計退休金負債增加（減少）,"-3,754","-3,754","-3,768","-11,270","-19,304",-569,-823,"-2,631","-2,882",,,,,,,
投資活動之淨現金流入（流出）,"-124,844","-124,844","-344,353","-83,841","881,881","266,121","-1,723,047","-992,231","-642,933","349,797","700,202","-2,502,791","-775,173","847,985","659,222","3,306,523"
折舊費用,"98,958","98,958","199,834","301,223","405,155","95,383","186,879","278,534","377,787","83,581","166,787","257,731","343,420","72,252","166,509","245,468"
持有供交易之金融資產（增加）減少,,,,,,,,,,0,"109,302","119,366","898,782","-14,790","-14,790","276,926"
採用權益法之被投資公司減資退回股款,,,,"2,068","2,067",,,0,0,,,,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-526,-526,"1,573","1,593",-956,"7,882","9,982","10,214","17,916","5,220","15,069","54,413","117,219","20,187","36,814","38,242"
攤銷費用,0,0,0,0,0,,,,,,,,,,,
支付之利息,"-45,241","-45,241","-101,096","-145,779","-188,611","-42,928","-90,643","-143,169","-196,738","-53,373","-105,247","-165,242","-225,741","-52,117","-103,779","-155,525"
收取之利息,"19,294","19,294","36,737","59,653","78,091","16,476","29,413","56,232","90,742","17,605","75,841","112,392","134,226","17,389","26,990","40,576"
收取之股利,,,"100,404","305,397","305,295",,"250,279","528,580","545,535",,"290,691","552,994","559,107",,"72,808","180,734"
收益費損項目合計,,,,,,,,,,"62,025","-152,100","250,924","-404,205","188,616","298,265","157,415"
期初現金及約當現金餘額,"4,284,000","4,284,000","4,284,000","4,284,000","4,284,000","3,294,619","3,294,619","3,294,619","3,294,619","3,163,688","3,163,688","3,163,688","3,163,688","1,829,306","1,829,306","1,829,306"
期末現金及約當現金餘額,"3,832,676","3,832,676","3,219,939","3,114,484","3,294,619","3,291,138","2,525,559","2,868,579","3,163,688","3,152,757","3,544,104","1,532,288","1,829,306","2,196,270","1,966,432","2,121,020"
未實現外幣兌換損失（利益）,"-8,505","-8,505","-15,509","-2,286",,,,0,,,,"-18,560","-60,523","39,555","37,429","53,452"
本期現金及約當現金增加（減少）數,"-451,324","-451,324","-1,064,061","-1,169,516","-989,381","-3,481","-769,060","-426,040","-130,931","-10,931","380,416","-1,631,400","-1,334,382","366,964","137,126","291,714"
本期稅前淨利（淨損）,"33,802","33,802","-14,603","187,124","1,338,804","-41,789","30,519","222,931","9,301","-209,547","-9,609","-369,795","194,900","-191,528","-234,869","-71,221"
淨確定福利負債增加(減少),,,,,,,,,,-272,-533,-806,"-43,677",-313,-667,"-15,034"
營業活動之淨現金流入（流出）,"-109,476","-109,476","-240,575","-20,381","-727,919","-476,620","-630,283","-1,281,772","-1,115,028","-309,593","-187,902","-99,783","303,390","-94,066","34,259","358,234"
營運產生之現金流入（流出）,"-45,645","-45,645","-66,652","217,018","-425,756","-434,212","-488,646","-1,061,308","-839,527","-256,080","-44,831","109,242","620,348","-37,129","145,257","524,408"
發放現金股利,,,"-1,690","-14,630","-30,630",,"-2,308","-666,667","-693,869",,"-2,656","-34,122","-231,298",,0,"-79,817"
短期借款增加,0,0,"236,235",,0,"620,000","1,391,107","2,270,311","260,916","779,000","351,826","-85,185","-745,193","15,000","99,637","-3,751"
短期借款減少,"-114,000","-114,000",0,"-94,000","-464,000",0,,0,0,,,,,,,
籌資活動之淨現金流入（流出）,"-260,272","-260,272","-538,863","-1,111,080","-1,198,763","185,932","1,596,931","1,825,068","1,561,084","-33,339","-112,963","991,849","-925,916","-361,221","-530,511","-3,299,514"
繼續營業單位稅前淨利（淨損）,"33,802","33,802","-14,603","187,124","1,338,804","-41,789","30,519","222,931","9,301","-209,547","-9,609","-369,795","194,900","-191,528","-234,869","-71,221"
股利收入,,,"-100,404","-305,397","-305,295",,"-298,590","-533,198","-545,535",,"-291,334","-556,490","-559,107",,"-81,181","-183,316"
與營業活動相關之負債之淨變動合計,"-121,947","-121,947","-94,050","416,404","81,406","-53,153","-91,450","-81,832","-52,381","-284,893","-235,265","-185,929","-275,989","-112,041","3,855","-64,094"
與營業活動相關之資產之淨變動合計,"116,897","116,897","26,366","-193,445","-718,937","-476,448","-513,889","-1,104,034","-1,048,849","176,335","352,143","414,042","1,105,642","77,824","78,006","502,308"
與營業活動相關之資產及負債之淨變動合計,"-5,050","-5,050","-67,684","222,959","-637,531","-529,601","-605,339","-1,185,866","-1,101,230","-108,558","116,878","228,113","829,653","-34,217","81,861","438,214"
舉借長期借款,0,0,0,0,0,,,"59,122","2,230,865",,,"1,259,918","334,291",,,0
處分不動產、廠房及設備,0,0,978,"1,242","32,143","10,283","10,284","14,882","15,884",0,"2,490","3,693","31,040",275,"2,215","2,376"
處分以成本衡量之金融資產,,,,,"341,280",,,,0,,,,,,,
處分備供出售金融資產,"3,448","3,448","32,493","36,589","44,904",0,0,"197,449","262,645","19,333","102,635","106,674","662,407",0,0,"2,431,010"
處分原始認列時指定為透過損益按公允價值衡量之金融資產,"-213,919","-213,919","361,302","377,706","402,092","381,944","381,944","577,271","669,179",,,,,,,
處分及報廢不動產、廠房及設備損失（利益）,5,5,-902,"-1,043","-3,714","-5,999","-5,998","-8,597","-9,436",0,"-2,490","-1,737","-27,306",-268,-147,-153
處分子公司,,,,746,746,,,0,0,,,"4,234","4,234",,,0
處分待出售非流動資產,,,,,,,,,,"147,940","147,940","147,940","147,940",0,0,0
處分投資性不動產,,,0,0,"778,747",,,,0,,"55,479","61,552","1,188,107",,0,0
處分投資性不動產損失（利益）,,,0,0,"-654,569",,,,0,,"-39,907","-45,981","-980,475",,0,0
處分投資損失（利益）,-188,-188,"2,934","2,191","-159,567",0,0,"20,054","41,200","3,775","4,058","12,616","-168,671",0,0,"23,687"
處分採用權益法之投資,,,"2,068",,,,0,,,,,,,,,
處分無形資產,0,0,0,0,0,,,,,,,,,,,
處分無形資產損失（利益）,0,0,0,0,0,,,,,,,,,,,
處分無活絡市場之債券投資,"102,670","102,670","161,927",,,0,,,,,,,,,,
調整項目合計,"-79,447","-79,447","-52,049","29,894","-1,764,560","-392,423","-519,165","-1,284,239","-848,828","-46,533","-35,222","479,037","425,448","154,399","380,126","595,629"
負債準備增加（減少）,,,,,,,"48,357","26,643","24,769","-2,101","-4,091","-6,042",,,,
資產負債表帳列之現金及約當現金,"3,832,676","3,832,676","3,219,939","3,114,484","3,294,619","3,291,138","2,525,559","2,868,579","3,163,688","3,152,757","3,544,104","1,532,288","1,829,306","2,196,270","1,966,432","2,121,020"
退還（支付）之所得稅,"-18,590","-18,590","-72,827","-91,620","-113,552",520,"-50,994","-77,295","-78,763",-140,"-37,824","-43,783","-91,217","-4,820","-7,219","-10,649"
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,"-183,468","-183,468","-117,886","-255,111","-635,271","13,247","137,476","44,538","2,173","-57,103","-60,766","292,992","293,885","21,279","63,540","-137,162"
金融資產減損損失,,,,,"7,940",,,,"27,793",,,,"17,641",,,
非控制權益變動,"-110,588","-110,588","-110,497","-111,505","-111,505","-501,170","-531,078","-531,078","-531,078",-200,-200,"-28,442","-28,442",0,0,0
非金融資產減損損失,,,"13,309","13,391","148,626",,"2,720","2,720","241,515",,"3,060","158,749","476,096",,0,"3,056"
非金融資產減損迴轉利益,,,,,,,,,,,,,,-22,-32,
預付投資款增加,"-30,000","-30,000",,,,0,,,,,,,,,,
預付款項（增加）減少,"-41,607","-41,607","-69,154","-265,201","13,022","-24,703","5,453","-2,414","42,775","-78,592","-53,480","-39,487","3,216","-32,941","-28,944","-28,089"
預付設備款增加,"-27,168","-27,168",,,,0,,,"-105,201",,,,0,,,
預付設備款減少,,,,,,,,,,,,,"3,197",,,
預收款項增加（減少）,"-4,210","-4,210",-407,"450,108","3,698","37,552","-10,099","9,917","4,652","-7,124","115,794","224,544","-24,353","-3,313","14,168","46,319"
