,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
其他權益－其他,,,,,,,,,,,,,,,,,,,,,,,"-2,592,510",-8.76,,,,,,,,
其他流動負債,"1,060,056",3.66,"1,060,056",3.66,"977,703",3.49,"2,006,890",6.76,"1,546,990",4.64,"1,905,419",5.59,"1,880,339",5.62,"1,571,768",4.64,"1,171,406",3.48,"845,507",2.6,"968,855",3.09,"894,083",3.02,"556,874",2.03,"582,306",2.17,"1,600,898",6.09,"1,190,044",4.59
其他流動資產,"598,888",2.07,"598,888",2.07,"573,293",2.04,"1,229,008",4.14,"1,562,776",4.68,"1,058,327",3.11,"2,046,866",6.12,"2,149,761",6.34,"1,981,517",5.89,"1,753,572",5.38,"2,067,806",6.6,"3,141,252",10.61,"2,874,441",10.5,"1,915,935",7.14,"2,159,426",8.21,"1,995,275",7.69
其他非流動負債,"460,613",1.59,"460,613",1.59,"462,123",1.65,"504,060",1.7,"486,257",1.46,"565,830",1.66,"566,219",1.69,"573,228",1.69,"270,226",0.8,"277,681",0.85,"280,010",0.89,"285,632",0.97,"256,537",0.94,"257,706",0.96,"254,604",0.97,"252,309",0.97
其他非流動資產,"488,435",1.69,"488,435",1.69,"478,977",1.71,"1,000,643",3.37,"1,154,162",3.46,"1,683,766",4.94,"1,763,710",5.27,"1,965,708",5.8,"1,635,034",4.86,"1,617,530",4.97,"1,486,396",4.74,"1,587,213",5.36,"1,777,468",6.49,"1,762,451",6.57,"1,711,652",6.51,"1,686,130",6.5
存貨,"921,566",3.18,"921,566",3.18,"923,011",3.29,"967,937",3.26,"1,312,784",3.93,"1,342,103",3.94,"1,574,644",4.7,"1,117,994",3.3,"1,148,184",3.41,"1,142,911",3.51,"1,161,759",3.71,"1,192,776",4.03,"1,229,687",4.49,"1,195,874",4.46,"1,156,905",4.4,"1,063,506",4.1
庫藏股票,"-1,153,409",-3.98,"-1,153,409",-3.98,"-1,153,409",-4.11,"-1,149,426",-3.87,"-1,149,426",-3.44,"-1,149,426",-3.37,"-1,149,426",-3.43,"-1,149,426",-3.39,"-1,149,426",-3.41,"-1,149,426",-3.53,"-1,149,426",-3.67,"-1,163,291",-3.93,"-1,170,260",-4.27,"-1,149,426",-4.29,"-1,149,426",-4.37,"-1,149,426",-4.43
待出售非流動資產（淨額）,,,,,,,,,,,,,,,,,"147,940",0.44,0,0.0,"192,061",0.61,"192,061",0.65,0,0.0,,,0,0.0,0,0.0
待分配股票股利,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
待註銷股本股數（單位：股）,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,
應付帳款,"308,533",1.06,"308,533",1.06,"428,357",1.53,"450,965",1.52,"572,950",1.72,"535,538",1.57,"463,771",1.39,"467,874",1.38,"527,656",1.57,"275,434",0.85,"224,366",0.72,"220,477",0.74,"324,362",1.18,"229,395",0.86,"363,261",1.38,"276,841",1.07
應付帳款－關係人,"61,016",0.21,"61,016",0.21,"74,324",0.26,"115,438",0.39,"86,714",0.26,"78,147",0.23,"100,714",0.3,"140,623",0.41,"98,415",0.29,"108,654",0.33,"85,670",0.27,"110,743",0.37,"94,028",0.34,"98,415",0.37,"110,378",0.42,"96,535",0.37
應付短期票券,"9,994",0.03,"9,994",0.03,"129,331",0.46,0,0.0,0,0.0,"224,847",0.66,"768,756",2.3,"603,467",1.78,"235,739",0.7,"349,903",1.07,"194,949",0.62,"123,984",0.42,0,0.0,"61,904",0.23,"117,944",0.45,"65,000",0.25
應付票據,"3,737",0.01,"3,737",0.01,"3,790",0.01,"3,735",0.01,"4,525",0.01,"4,161",0.01,"4,161",0.01,"3,896",0.01,"3,926",0.01,"3,154",0.01,"4,135",0.01,"3,285",0.01,"36,410",0.13,"35,222",0.13,"3,108",0.01,"3,072",0.01
應付票據－關係人,,,,,,,,,,,,,,,199,0.0,,,,,,,0,0.0,,,,,,,,
應收帳款淨額,"138,117",0.48,"138,117",0.48,"174,641",0.62,"207,666",0.7,"184,346",0.55,"199,164",0.58,"115,286",0.34,"149,873",0.44,"109,817",0.33,"77,679",0.24,"53,080",0.17,"55,466",0.19,"100,549",0.37,"79,231",0.3,"72,173",0.27,"74,065",0.29
應收帳款－關係人淨額,321,0.0,321,0.0,85,0.0,42,0.0,39,0.0,31,0.0,33,0.0,36,0.0,"6,992",0.02,"33,203",0.1,"11,751",0.04,550,0.0,31,0.0,28,0.0,9,0.0,9,0.0
應收票據淨額,"379,326",1.31,"379,326",1.31,"417,161",1.49,"387,814",1.31,"544,987",1.63,"433,464",1.27,"267,047",0.8,"351,137",1.04,"454,996",1.35,"252,350",0.77,"226,743",0.72,"161,817",0.55,"199,164",0.73,"138,637",0.52,"194,341",0.74,"145,085",0.56
應收票據－關係人淨額,"17,120",0.06,"17,120",0.06,"13,754",0.05,"17,207",0.06,"16,313",0.05,"17,148",0.05,"11,014",0.03,"9,329",0.03,"7,031",0.02,"4,567",0.01,"6,801",0.02,"8,290",0.03,"12,769",0.05,"5,487",0.02,973,0.0,0,0.0
投資性不動產淨額,"6,657,510",22.98,"6,657,510",22.98,"6,905,802",24.62,"6,901,080",23.26,"6,772,724",20.29,"6,793,263",19.94,"7,850,654",23.45,"8,373,345",24.7,"8,317,724",24.71,"8,286,434",25.44,"8,074,033",25.77,"8,149,672",27.53,"8,139,165",29.72,"8,191,575",30.55,"8,299,561",31.55,"8,282,173",31.91
採用權益法之投資淨額,"696,733",2.4,"696,733",2.4,"655,146",2.34,"478,126",1.61,"488,554",1.46,"1,157,959",3.4,"1,130,270",3.38,"1,097,032",3.24,"1,097,147",3.26,"1,008,126",3.09,"1,006,086",3.21,"1,003,734",3.39,"1,061,845",3.88,"1,046,822",3.9,"1,013,697",3.85,"995,528",3.84
普通股股本,"7,768,285",26.81,"7,768,285",26.81,"7,768,285",27.69,"7,768,285",26.18,"7,768,285",23.28,"7,768,285",22.8,"7,768,285",23.21,"7,768,285",22.91,"7,768,285",23.07,"7,768,285",23.85,"7,768,285",24.79,"7,768,285",26.25,"7,768,285",28.37,"7,747,805",28.89,"7,747,805",29.45,"7,747,805",29.85
未分配盈餘（或待彌補虧損）,"3,394,741",11.72,"3,394,741",11.72,"3,361,516",11.98,"3,549,491",11.96,"4,692,427",14.06,"4,571,245",13.42,"4,000,410",11.95,"4,154,248",12.25,"4,014,328",11.92,"3,826,555",11.75,"3,709,393",11.84,"3,404,600",11.5,"4,067,819",14.86,"3,879,199",14.47,"2,550,895",9.7,"2,686,366",10.35
本期所得稅負債,,,,,,,,,,,,,,,,,,,"47,776",0.15,"15,664",0.05,"8,578",0.03,"19,267",0.07,"15,825",0.06,"34,383",0.13,"37,714",0.15
本期所得稅資產,,,,,,,,,,,,,,,,,,,"14,226",0.04,"9,879",0.03,"10,391",0.04,"9,801",0.04,"10,050",0.04,842,0.0,842,0.0
權益總計,,,,,,,,,,,,,,,,,,,"18,648,492",57.24,"17,235,969",55.01,"14,090,025",47.6,"14,046,346",51.3,"13,984,333",52.15,"13,342,739",50.73,"15,891,795",61.24
權益總額,"16,395,990",56.58,"16,395,990",56.58,"15,769,322",56.21,"17,460,727",58.84,"21,498,297",64.42,"21,493,908",63.09,"18,791,647",56.14,"19,135,418",56.44,"19,282,058",57.27,,,,,,,,,,,,,,
歸屬於母公司業主之權益合計,"14,107,266",48.68,"14,107,266",48.68,"13,569,825",48.37,"15,217,262",51.28,"19,082,091",57.18,"19,470,009",57.15,"16,886,841",50.45,"17,202,246",50.74,"17,353,963",51.55,"16,731,660",51.36,"15,397,504",49.14,"12,374,637",41.81,"12,375,824",45.2,"12,308,886",45.9,"11,694,723",44.46,"14,145,763",54.51
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,"132,150,185",,"132,150,185",,"132,150,185",,"131,226,016",,"131,226,016",,"131,226,016",,"131,226,016",,"131,226,016",,"131,226,016",,"131,226,016",,"131,226,016",,"132,605,016",,"133,274,016",,"131,226,016",,"131,226,016",,"131,226,000",
法定盈餘公積,"1,830,635",6.32,"1,830,635",6.32,"1,830,635",6.53,"1,830,635",6.17,"1,830,635",5.49,"1,830,635",5.37,"1,957,842",5.85,"1,957,842",5.77,"1,957,842",5.82,"1,957,842",6.01,"1,959,476",6.25,"1,959,476",6.62,"1,959,476",7.16,"1,959,476",7.31,"1,981,627",7.53,"1,981,627",7.64
流動負債合計,"2,958,234",10.21,"2,958,234",10.21,"3,334,434",11.89,"3,960,240",13.35,"3,287,960",9.85,"4,411,382",12.95,"6,477,182",19.35,"6,052,018",17.85,"3,366,245",10.0,"3,618,876",11.11,"3,318,057",10.59,"2,670,342",9.02,"1,526,371",5.57,"1,515,478",5.65,"2,884,177",10.96,"2,134,150",8.22
流動資產合計,"12,221,392",42.18,"12,221,392",42.18,"11,522,945",41.08,"12,068,308",40.67,"13,570,784",40.66,"12,767,191",37.47,"12,823,227",38.31,"12,611,511",37.2,"12,878,015",38.25,"12,473,368",38.29,"12,691,630",40.5,"12,540,833",42.37,"10,683,575",39.02,"10,270,628",38.3,"10,066,494",38.27,"8,638,868",33.29
無形資產,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
無活絡市場之債券投資－流動淨額,"516,256",1.78,"516,256",1.78,"744,936",2.66,,,,,,,,,,,,,,,,,,,,,,,,,,
無活絡市場之債券投資－非流動淨額,"497,179",1.72,"497,179",1.72,"507,381",1.81,,,,,,,,,,,,,,,,,,,,,,,,,,
特別盈餘公積,"2,819,594",9.73,"2,819,594",9.73,"2,819,594",10.05,"2,819,594",9.5,"2,715,793",8.14,"2,715,793",7.97,"2,418,255",7.22,"2,418,255",7.13,"2,418,255",7.18,"2,418,255",7.42,"2,409,016",7.69,"2,392,109",8.08,"2,346,051",8.57,"2,346,051",8.75,"3,508,335",13.34,"3,508,335",13.52
現金及約當現金,"3,832,676",13.23,"3,832,676",13.23,"3,219,939",11.48,"3,114,484",10.5,"3,294,619",9.87,"3,291,138",9.66,"2,525,559",7.55,"2,868,579",8.46,"3,163,688",9.4,"3,152,757",9.68,"3,544,104",11.31,"1,532,288",5.18,"1,829,306",6.68,"2,196,270",8.19,"1,966,432",7.48,"2,121,020",8.17
當期所得稅負債,"78,242",0.27,"78,242",0.27,"35,497",0.13,"42,259",0.14,"60,778",0.18,"63,082",0.19,"49,010",0.15,"40,087",0.12,"44,355",0.13,,,,,,,,,,,,,,
當期所得稅資產,352,0.0,352,0.0,634,0.0,"6,823",0.02,"6,054",0.02,"5,549",0.02,"5,162",0.02,"5,162",0.02,"14,173",0.04,,,,,,,,,,,,,,
短期借款,"1,143,949",3.95,"1,143,949",3.95,"1,496,117",5.33,"1,165,251",3.93,"797,205",2.39,"1,418,828",4.16,"2,187,333",6.53,"3,034,167",8.95,"1,057,801",3.14,"1,832,998",5.63,"1,403,586",4.48,"975,174",3.29,"312,817",1.14,"330,554",1.23,"424,290",1.61,"318,270",1.23
股本合計,"7,768,285",26.81,"7,768,285",26.81,"7,768,285",27.69,"7,768,285",26.18,"7,768,285",23.28,"7,768,285",22.8,"7,768,285",23.21,"7,768,285",22.91,"7,768,285",23.07,"7,768,285",23.85,"7,768,285",24.79,"7,768,285",26.25,"7,768,285",28.37,"7,747,805",28.89,"7,747,805",29.45,"7,747,805",29.85
負債及權益總計,,,,,,,,,,,,,,,,,,,"32,577,250",100.0,"31,334,774",100.0,"29,598,723",100.0,"27,383,042",100.0,"26,816,477",100.0,"26,304,009",100.0,"25,951,452",100.0
負債準備－流動,,,,,,,,,,,,,"27,258",0.08,"7,902",0.02,"8,063",0.02,"7,666",0.02,"7,492",0.02,"7,518",0.03,,,,,,,,
負債準備－非流動,,,,,,,,,,,,,"20,471",0.06,"18,954",0.06,"17,900",0.05,"15,595",0.05,"13,794",0.04,"12,292",0.04,,,,,,,,
負債總計,,,,,,,,,,,,,,,,,,,"13,928,758",42.76,"14,098,805",44.99,"15,508,698",52.4,"13,336,696",48.7,"12,832,144",47.85,"12,961,270",49.27,"10,059,657",38.76
負債總額,"12,580,964",43.42,"12,580,964",43.42,"12,283,121",43.79,"12,211,983",41.16,"11,876,356",35.58,"12,574,870",36.91,"14,680,392",43.86,"14,770,516",43.56,"14,384,421",42.73,,,,,,,,,,,,,,
資本公積合計,"444,825",1.54,"444,825",1.54,"444,825",1.59,"450,521",1.52,"450,521",1.35,"450,521",1.32,"450,521",1.35,"570,096",1.68,"570,096",1.69,"570,096",1.75,"570,096",1.82,"605,968",2.05,"605,975",2.21,"605,621",2.26,"605,621",2.3,"617,579",2.38
資產總計,,,,,,,,,,,,,,,,,,,"32,577,250",100.0,"31,334,774",100.0,"29,598,723",100.0,"27,383,042",100.0,"26,816,477",100.0,"26,304,009",100.0,"25,951,452",100.0
資產總額,"28,976,954",100.0,"28,976,954",100.0,"28,052,443",100.0,"29,672,710",100.0,"33,374,653",100.0,"34,068,778",100.0,"33,472,039",100.0,"33,905,934",100.0,"33,666,479",100.0,,,,,,,,,,,,,,
透過損益按公允價值衡量之金融負債－流動,,,,,,,,,632,0.0,447,0.0,324,0.0,174,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,
透過損益按公允價值衡量之金融負債－非流動,"1,121",0.0,"1,121",0.0,958,0.0,775,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,
透過損益按公允價值衡量之金融資產－流動,"2,039,831",7.04,"2,039,831",7.04,"1,820,520",6.49,"1,953,482",6.58,"2,313,953",6.93,"1,936,040",5.68,"1,800,959",5.38,"1,706,989",5.03,"1,671,024",4.96,"1,722,900",5.29,"1,606,690",5.13,"1,266,695",4.28,"488,242",1.78,"477,381",1.78,"436,050",1.66,"345,705",1.33
遞延所得稅負債,"1,528,431",5.27,"1,528,431",5.27,"1,533,864",5.47,"1,514,843",5.11,"1,572,661",4.71,"1,626,143",4.77,"1,543,233",4.61,"1,572,831",4.64,"1,633,163",4.85,"1,553,295",4.77,"1,543,036",4.92,"1,573,267",5.32,"1,437,684",5.25,"1,412,443",5.27,"1,406,879",5.35,"1,355,662",5.22
遞延所得稅資產,"167,846",0.58,"167,846",0.58,"168,835",0.6,"171,138",0.58,"187,771",0.56,"199,339",0.59,"180,537",0.54,"172,035",0.51,"219,201",0.65,"219,753",0.67,"149,238",0.48,"143,454",0.48,"129,632",0.47,"122,554",0.46,"135,600",0.52,"127,124",0.49
長期借款,"7,632,565",26.34,"7,632,565",26.34,"6,951,742",24.78,"6,232,065",21.0,"6,529,478",19.56,"5,971,515",17.53,"6,073,287",18.14,"6,553,485",19.33,"9,096,887",27.02,"8,463,311",25.98,"8,943,908",28.54,"10,967,165",37.05,"10,116,104",36.94,"9,646,517",35.97,"8,415,610",31.99,"6,317,536",24.34
非控制權益,"2,288,724",7.9,"2,288,724",7.9,"2,199,497",7.84,"2,243,465",7.56,"2,416,206",7.24,"2,023,899",5.94,"1,904,806",5.69,"1,933,172",5.7,"1,928,095",5.73,"1,916,832",5.88,"1,838,465",5.87,"1,715,388",5.8,"1,670,522",6.1,"1,675,447",6.25,"1,648,016",6.27,"1,746,032",6.73
非流動負債合計,"9,622,730",33.21,"9,622,730",33.21,"8,948,687",31.9,"8,251,743",27.81,"8,588,396",25.73,"8,163,488",23.96,"8,203,210",24.51,"8,718,498",25.71,"11,018,176",32.73,"10,309,882",31.65,"10,780,748",34.41,"12,838,356",43.37,"11,810,325",43.13,"11,316,666",42.2,"10,077,093",38.31,"7,925,507",30.54
非流動資產合計,"16,755,562",57.82,"16,755,562",57.82,"16,529,498",58.92,"17,604,402",59.33,"19,803,869",59.34,"21,301,587",62.53,"20,648,812",61.69,"21,294,423",62.8,"20,788,464",61.75,"20,103,882",61.71,"18,643,144",59.5,"17,057,890",57.63,"16,699,467",60.98,"16,545,849",61.7,"16,237,515",61.73,"17,312,584",66.71
預付款項,"232,065",0.8,"232,065",0.8,"247,209",0.88,"378,743",1.28,"163,025",0.49,"185,122",0.54,"204,020",0.61,"210,185",0.62,"150,598",0.45,"227,884",0.7,"206,441",0.66,"200,778",0.68,"150,338",0.55,"181,878",0.68,"167,725",0.64,"165,318",0.64
預收股款（權益項下）之約當發行股數（單位：股）,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
