,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
持有供交易之金融資產（增加）減少,"-120,107","-120,107","-57,600","-22,597","-78,079","34,423","52,714","53,509","52,761","30,417","30,514","30,439","30,438",0,0,-124
採用權益法認列之關聯企業及合資損失（利益）之份額,"-151,905","-151,905","-359,542","-651,774","-585,550","-271,861","-637,230","-997,683","-1,250,088","-181,127","-409,761","-631,435","-737,161","-149,029","-372,932","-658,759"
攤銷費用,"88,802","88,802","165,424","242,218","335,203","81,395","166,765","251,738","345,401","92,691","182,325","293,414","397,480","106,797","214,984","306,348"
支付之利息,"-431,281","-431,281","-947,978","-1,386,778","-1,792,669","-449,549","-898,639","-1,359,396","-1,810,314","-427,626","-791,549","-1,251,317","-1,708,559","-443,144","-898,132","-1,334,903"
收取之利息,"50,029","50,029","49,859","177,690","230,778","53,695","136,582","220,223","329,504","100,140","207,404","311,629","406,803","98,829","182,799","263,213"
收取之股利,"80,703","80,703","279,607","984,057","1,090,682","51,954","124,517","1,220,093","1,574,022","24,620","445,070","1,071,469","1,357,381","135,290","430,043","1,317,391"
收益費損項目合計,,,,,,,,,,"1,900,956","3,454,063","5,904,184","8,228,578","1,964,418","4,239,835","5,366,389"
期初現金及約當現金餘額,"25,611,406","25,611,406","25,611,406","25,611,406","25,611,406","25,711,065","25,711,065","25,711,065","25,711,065","30,514,042","30,514,042","30,514,042","30,514,042","38,977,360","38,977,360","38,977,360"
期末現金及約當現金餘額,"18,994,984","18,994,984","20,171,167","19,104,057","25,711,065","29,329,415","29,177,252","27,917,164","30,514,042","31,406,216","35,848,634","35,931,378","38,977,360","31,747,040","26,182,757","27,229,371"
未實現外幣兌換損失（利益）,"-152,961","-152,961","-153,992","-250,274","-328,115","392,934","122,566","36,131","165,809","-116,556","-63,353","492,040","994,811","-194,138","329,632","115,056"
本期現金及約當現金增加（減少）數,"-6,616,422","-6,616,422","-5,440,239","-6,507,349","99,659","3,618,350","3,466,187","2,206,099","4,802,977","892,174","5,334,592","5,417,336","8,463,318","-7,230,320","-12,794,603","-11,747,989"
本期稅前淨利（淨損）,"2,340,789","2,340,789","6,949,563","13,467,984","18,604,456","3,550,846","9,837,043","15,933,466","21,198,720","1,469,867","4,712,376","5,883,687","8,666,015","277,847","3,746,045","7,771,113"
淨確定福利負債增加(減少),,,,,,,,,,"-8,743","-22,852","-17,850","-36,776","-10,810","-45,393","-96,919"
營業活動之淨現金流入（流出）,"2,274,053","2,274,053","8,304,006","13,472,770","21,973,605","6,895,832","11,348,405","15,050,366","19,986,920","5,654,152","11,228,717","16,741,123","21,763,392","5,608,258","9,771,497","13,908,342"
營運產生之現金流入（流出）,"2,490,393","2,490,393","9,732,219","15,696,049","24,661,929","7,756,626","13,786,053","18,628,471","24,053,474","6,779,813","13,423,097","19,765,743","24,990,931","5,680,392","10,982,120","15,942,497"
發放現金股利,,,"-1,433,449","-8,634,335","-8,656,161",,"-2,679,477","-11,383,461","-11,411,828",,"-2,592,626","-11,888,726","-11,963,228",,"-2,255,391","-7,210,982"
短期借款增加,,,,,,,,,,"2,101,256",,,,"-1,958,393",,
短期借款減少,"-2,535,538","-2,535,538","-4,892,132","4,191,826","-2,514,570","5,592,753","436,458","8,908,871","3,825,866",,"-1,427,659","3,586,367","-3,539,971",,"-6,420,829","-481,803"
籌資活動之淨現金流入（流出）,"-10,614,587","-10,614,587","-13,554,971","-20,670,886","-20,772,849","-2,443,264","-6,965,315","-12,569,253","-11,730,774","-3,244,859","1,179,341","-3,543,764","-5,046,590","-10,249,223","-20,330,993","-24,880,050"
繼續營業單位稅前淨利（淨損）,"2,340,789","2,340,789","6,949,563","13,467,984","18,604,456","3,550,846","9,837,043","15,933,466","21,198,720","1,469,867","4,712,376","5,883,687","8,666,015","277,847","3,746,045","7,771,113"
股利收入,,,,"-676,305","-692,685",,,"-821,554","-832,814",,"-423,438","-764,425","-958,117",,"-246,776","-801,130"
與營業活動相關之負債之淨變動合計,"-125,248","-125,248","1,075,299","-52,801","765,816","-139,803","-892,159","-939,843","-2,693,072","-1,879,193","-3,654,999","-3,588,057","-4,188,850","-1,397,749","-786,301","60,278"
與營業活動相關之資產之淨變動合計,"-1,175,232","-1,175,232","-1,619,865","-2,177,839","-2,029,444","2,156,741","928,314","-1,129,349","-1,163,819","5,288,183","8,911,657","11,565,929","12,285,188","4,835,876","3,782,541","2,744,717"
與營業活動相關之資產及負債之淨變動合計,"-1,300,480","-1,300,480","-544,566","-2,230,640","-1,263,628","2,016,938","36,155","-2,069,192","-3,856,891","3,408,990","5,256,658","7,977,872","8,096,338","3,438,127","2,996,240","2,804,995"
舉借長期借款,,,"10,188,881","14,418,601","26,772,266","3,351,397","11,430,901","14,630,231","36,204,200","5,134,654","21,356,262","21,577,453","29,252,473","1,386,489","7,367,522","12,179,630"
處分不動產、廠房及設備,"61,021","61,021","65,850","164,044","707,821","260,378","264,489","264,992","320,043",754,"26,711","28,799","98,761","3,685","33,636","37,110"
處分以成本衡量之金融資產,,,"28,311","28,311","30,721",,"21,870","22,010",140,,0,"9,461",0,,,0
處分備供出售金融資產,"5,450","5,450","36,427","46,858","45,407",0,"5,000","10,001","17,001",,0,"10,000","14,842","9,291","19,450","60,752"
處分及報廢不動產、廠房及設備損失（利益）,"-29,636","-29,636","-33,328","-28,417","-493,344","-137,596","-133,998","-132,244","-148,162","5,362","6,995","9,425","34,307","13,374","-13,747","-12,669"
處分投資性不動產,0,0,0,0,"9,082",,,,0,,,,,,,
處分投資性不動產損失（利益）,,,0,0,"-5,289",,,,0,,,,,,,
處分投資損失（利益）,"-430,158","-430,158","-552,987","-512,621","-468,203",-96,-96,-71,-130,-438,-514,-515,-499,-20,-179,-389
處分採用權益法之投資,"1,547,076","1,547,076","1,586,114","2,194,144","2,194,144",0,0,0,0,,,,,,,
調整項目合計,"149,604","149,604","2,782,656","2,228,065","6,057,473","4,205,780","3,949,010","2,695,005","2,854,754","5,309,946","8,710,721","13,882,056","16,324,916","5,402,545","7,236,075","8,171,384"
資產負債表帳列之現金及約當現金,"18,994,984","18,994,984","20,171,167","19,104,057","25,711,065","29,329,415","29,177,252","27,917,164","30,514,042","31,406,216","35,848,634","35,931,378","38,977,360","31,747,040","26,182,757","27,229,371"
退還（支付）之所得稅,"-216,340","-216,340","-1,428,213","-2,223,279","-2,688,324","-860,794","-2,437,648","-3,578,105","-4,066,554","-1,125,661","-2,194,380","-3,024,620","-3,227,539","-72,134","-1,210,623","-2,034,155"
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,"-1,929","-1,929",-7,"-2,158","12,428","5,517","-13,015","-13,519","-34,634",74,-18,"68,561","1,114",-140,-250,"-15,715"
金融資產減損損失,,,"154,149","154,149","321,815",,0,0,0,"51,290","51,296","51,296","51,296",0,0,0
金融資產減損迴轉利益,,,,,,,,,,,,,"-186,035",,,
長期應收租賃款增加,"50,055","50,055","-81,254","-176,707","170,373","83,637","272,390","518,482","596,158",,"319,701","601,233","726,368",,"128,505","495,719"
長期應收租賃款減少,,,,,,,,,,"100,480",,,,"-160,457",,
附買回票券及債券負債減少,"-782,840","-782,840","-1,063,360","741,402",,"144,862","238,779","1,822,324","1,268,225","-245,853","-726,955","-239,220","-210,728","1,748,419","-307,883","1,518,880"
非控制權益變動,"-23,953","-23,953","11,834","17,351","24,513","1,919","2,880","3,452","3,050",0,0,"6,022,411","6,022,723",,,0
非金融資產減損損失,"34,273","34,273",0,0,"250,100","50,107","321,756","300,397","11,461",,"-91,298","-76,841","13,105",,"-2,639","25,613"
非金融資產減損迴轉利益,,,"13,544","29,693","215,974",,,,"313,340","-72,877",,,"-87,164","-22,755",,
預付投資款增加,"-76,040","-76,040","-631,025","-18,886",0,0,0,0,"-2,120,380",,,,0,,,
預付款項（增加）減少,"-341,187","-341,187","-670,215","331,132","-124,650","-232,969","401,595","209,302","851,554","-261,314","623,389","429,732","1,028,566","-378,464","291,921","-387,024"
預收款項增加（減少）,,,,"1,173,682","333,995","235,834","250,007","820,747","213,928","-113,323","-17,840","385,980","70,644","54,125","-160,553","645,007"
